en	zo
In the beginning God created the heavens and the earth.	A kipat cil-in Pasian in vantung le leitung a piangsak hi.
May mercy, peace, and love be multiplied to you.	Note khempeuh tungah hehpihna, le itna thupha tampi tak hong tung tahen.
For great is His loving devotion to us, and the faithfulness of the LORD endures forever. Hallelujah!	Bang hang hiam cih leh eite a hong itna lian mahmah a, Topa’ thutakna a tawntungin kip ngitnget hi. Topa phat un.
The blessing of the LORD brings wealth, and He adds no trouble to it.	Topa’ thupha in mite hausak a, dahna le gimna tawh piakhawm lo hi.
May the grace of the Lord Jesus Christ, and the love of God, and the fellowship of the Holy Spirit be with you all.	Topa Jesuh Khrih hong hehpihna thupha, le Pasian’ hong itna, le Kha Siangtho tawh kikholh theihna, note khempeuh tungah hong tung tahen.
“Speak to the Israelites and say to them: ‘When any of you brings an offering to the LORD, you may bring as your offering an animal from the herd or from the flock.	“Israel mite tungah gen inla, amaute tungah hih bangin ci in: Note khatpeuh in Topa’ tungah biakna na paipih uh ciangin, ganhing tawh na biakna pen bawnghon panin hitaleh tuuhon panin hitaleh na paipih ding uh hi.
He declared to you His covenant, the Ten Commandments, which He commanded you to follow and then wrote on two stone tablets.	Thupiak Sawmte ahi note’ hih dinga hong thupiak ama thuciamna note’ tungah hong gen a, amah in suangpek nih tungah tuate a gelh hi.
So the people shouted, and the priests blew the trumpets. And when the people heard the sound of the trumpet, they raised a great shout, and the wall collapsed. The people charged straight into the city, and they captured it.	Tua ahih ciangin mite awng a, peengkulte kitum hi. Mite in peengkul aw a zak phetun nakpitakin awng uh a, kulhpi cimmai-in, mi khempeuh amau mai ciatah tangtakin khuapi sungah pai uh a, khuapi a la uh hi.
Reaching into his bag, David took out a stone and slung it, striking the Philistine on the forehead. The stone sank into his forehead, and he fell facedown on the ground.	Tua ciangin David in a khutin a thungip sawkin suangtang khat la a, a kap leh Filistia-pa’ taltang a kha hi. A taltangah a suangtang tum a, leilakah amah maipuk hi.
As they were walking along and talking, suddenly a chariot of fire with horses of fire appeared and separated the two of them, and Elijah went up to heaven in a whirlwind.	Tua ciangin amaute a pai kawmkawm a kiho laitakun, mei leeng khat le mei sakolte in amaute nih a khen hi. Tua ciangin vantungah Elijah pingpei-in paito hi.
In the first year of Cyrus king of Persia, to fulfill the word of the LORD spoken by Jeremiah, the LORD moved the heart of Cyrus king of Persia to issue a proclamation throughout his realm and also to put it in writing:	Persia kumpi Sairas’ uk kum khatna kumin, Jeremiah tungtawnin Topa’ thugen a tun theih nadingin, ama gam sung khempeuhah taangkona khat bawlin lai-in zong a gelh nadingin Persia kumpi Sairas’ lungsimah Topa in a suaksak hi. Amah in hih bangin a hih hi:
So we rebuilt the wall until all of it was joined together up to half its height, for the people had a mind to work.	Tua ahih ciangin kulh ka ciang uh a, nasep a kimciang bang kizo hi. Mite in utna lungsim tawh sem uh hi.
And the king loved Esther more than all the other women, and she won his grace and favor more than all the other virgins. So he set the royal crown on her head and made her queen instead of Vashti.	kumpipa in ama numei dangte khempeuh sangin itzaw a, a nungak dangte khempeuh sangin limbawl zaw hi. Tua hi a, kumpi lukhu amah khusakin Vashti’ tangin kumpinu a suaksak hi.
“Where were you when I laid the foundations of the earth? Tell Me, if you have understanding.	Leitung ka bawl laitakin nang om na hi hiam? Thei kisa na hih leh tua thu hong gen in.
There is a time for everything, and a season for every activity under the heavens:	Hih leitungah a piang thu khempeuh, Pasian in ama pian’ hun dinga a sehsa hunin a piansak ahi hi.
The flowers appear on the earth; the season of singing has come, and the cooing of doves is heard in our land.	Gam sung tengah paakte palh a, lasak hun tung ta hi. Gam sung tengah vakhu hamte kiza ta hi.
And they called out to one another: “Holy, holy, holy is the LORD of Hosts; His glory fills the whole earth.”	Amaute khatlekhat kisamin: “Vanglian Topa , siangtho, siangtho, siangtho; leitung khempeuh ama minthanna tawh kidim,” ci-in awng uh hi.
Because of the loving devotion of the LORD we are not consumed, for His compassions never fail.	A bei thei lo Topa’ hong itna le a hehpihna a kizom paisuak hi a,
This is what the Lord GOD says to these bones: ‘I will cause breath to enter you, and you will come to life.	Topa Pasian ahi keimah in amaute tungah ka gen thu hih bangin gen in: Note sungah hu kong guan ding a, note kong nungtasakkik ding hi.
This is the inscription that was written: MENE, MENE, TEKEL, PARSIN.	Tua a kigelh laimal pen hih bang ahi hi: Mene, Mene, Tekel, Parsin.
I led them with cords of human kindness, with ties of love. To them I was like one who lifts a little child to the cheek, and I bent down to feed them.	Amaute, itna le hehpihna tawh ka len a, domto-in ka biang ciangah ka tawi a, awn sukin an ka pia hi.
And afterward, I will pour out My Spirit on all people. Your sons and daughters will prophesy, your old men will dream dreams, your young men will see visions.	“Tua khit ciangin mi khempeuh tungah ka kha ka sung ding a, na puteekte un mang manin na tangvalte un maang mu ding uh hi.
But let justice roll on like a river, and righteousness like a never-failing stream.	Thutang, tui bangin luangkhiasak unla, thuman, a kang ngei lo tui bangin luangsak un.
Though you soar like the eagle and make your nest among the stars, from there I will bring you down,” declares the LORD.	Muvanlai bangin sangpi-ah leengin, aksite lakah bu na bawl hangun no kong khiasuk veve ding hi, Topa in a ci hi.
He said: “In my distress I called to the LORD, and He answered me. From the depths of Sheol I called for help, and You listened to my cry.	“Ka cihmawhna panin Topa ka sam a, amah in kei hong dawng hi. Sihna gam Sheol panin kong kiko a, nangmah in ka aw nong za hi.
He has shown you, O man, what is good. And what does the LORD require of you but to act justly, to love mercy, and to walk humbly with your God?	Mun khempeuhah a om no mihingte aw, Topa in a hoih nate hong gen khinzo hi. Topa in note tung panin hong kalh thu in: Thuman thutang sem ding a, itna kip nei tawntungin, kiniamkhiatna tawh Pasian’ thu man’ ding ahi hi.
The LORD is good, a stronghold in the day of trouble. He knows those who take refuge in Him.	Topa hoih hi; lungkham hunin a mite huh a, amah a beel mite limtakin a kem hi.
